2019-05-28T15:02:48.436Z [info] 	Starting TrueAutomation.IO client
2019-05-28T15:02:48.437Z [info] 	API key: 8ceb34cf-4ee4-46dd-8ccb-9f733013341a
2019-05-28T15:02:48.437Z [info] 	Project name: repForBugs
2019-05-28T15:02:48.437Z [info] 	Cloud server: http://app-dev.trueautomation.io
2019-05-28T15:02:48.437Z [info] 	Starting chromeDriver /Users/juliaarapova/.trueautomation/chromedriver/chromedriver_mac64_74.0.3729.6 on port 9516...
2019-05-28T15:02:48.883Z [info] 	TrueAutomation.IO Client is listening on port 9515
2019-05-28T15:02:50.354Z [info] 	0 Create session response: {"sessionId":"c6fa31b84c3f57ad68b44fe420d13199","status":0,"value":{"acceptInsecureCerts":false,"acceptSslCerts":false,"applicationCacheEnabled":false,"browserConnectionEnabled":false,"browserName":"chrome","chrome":{"chromedriverVersion":"74.0.3729.6 (255758eccf3d244491b8a1317aa76e1ce10d57e9-refs/branch-heads/3729@{#29})","userDataDir":"/var/folders/vv/_x0x6cds6_l48m8ntvvw30sw0000gn/T/.com.google.Chrome.e6fHqo"},"cssSelectorsEnabled":true,"databaseEnabled":false,"goog:chromeOptions":{"debuggerAddress":"localhost:52199"},"handlesAlerts":true,"hasTouchScreen":false,"javascriptEnabled":true,"locationContextEnabled":true,"mobileEmulationEnabled":false,"nativeEvents":true,"networkConnectionEnabled":false,"pageLoadStrategy":"normal","platform":"Mac OS X","proxy":{},"rotatable":false,"setWindowRect":true,"strictFileInteractability":false,"takesHeapSnapshot":true,"takesScreenshot":true,"timeouts":{"implicit":0,"pageLoad":300000,"script":30000},"unexpectedAlertBehaviour":"ignore","version":"74.0.3729.169","webStorageEnabled":true}}
2019-05-28T15:02:50.363Z [info] 	1 Sending POST request to http://localhost:9516/session/c6fa31b84c3f57ad68b44fe420d13199/url:  {"url":"https://ectest.trueautomation.io/flow"}
2019-05-28T15:02:55.514Z [info] 	2 Sending elements request to http://localhost:9516/session/c6fa31b84c3f57ad68b44fe420d13199:  {"using":"xpath","value":"//input[@id='username']"}
2019-05-28T15:02:55.514Z [info] 	2 Elements locator: {"value":"//input[@id='username']","using":"xpath"}
2019-05-28T15:02:55.638Z [info] 	2 Elements response: {"sessionId":"c6fa31b84c3f57ad68b44fe420d13199","status":0,"value":[{"ELEMENT":"0.7120357156936477-1"}]}
2019-05-28T15:02:55.639Z [info] 	3 Sending GET request to http://localhost:9516/session/c6fa31b84c3f57ad68b44fe420d13199/element/0.7120357156936477-1/displayed:  {}
2019-05-28T15:02:55.651Z [info] 	4 Sending POST request to http://localhost:9516/session/c6fa31b84c3f57ad68b44fe420d13199/execute:  {"script":"return (function(el, names){\n  return names.map(function(name){\n    return el[name]\n  });\n})(arguments[0], arguments[1]);\n","args":[{"ELEMENT":"0.7120357156936477-1"},["tagName","type"]]}
2019-05-28T15:02:55.656Z [info] 	5 Sending POST request to http://localhost:9516/session/c6fa31b84c3f57ad68b44fe420d13199/execute:  {"script":"if (!arguments[0].readOnly){ arguments[0].value = '' }","args":[{"ELEMENT":"0.7120357156936477-1"}]}
2019-05-28T15:02:55.662Z [info] 	6 Sending POST request to http://localhost:9516/session/c6fa31b84c3f57ad68b44fe420d13199/element/0.7120357156936477-1/value:  {"value":["admin"]}
2019-05-28T15:02:55.736Z [info] 	7 Sending elements request to http://localhost:9516/session/c6fa31b84c3f57ad68b44fe420d13199:  {"using":"xpath","value":"//input[@id='password']"}
2019-05-28T15:02:55.736Z [info] 	7 Elements locator: {"value":"//input[@id='password']","using":"xpath"}
2019-05-28T15:02:55.748Z [info] 	7 Elements response: {"sessionId":"c6fa31b84c3f57ad68b44fe420d13199","status":0,"value":[{"ELEMENT":"0.7120357156936477-2"}]}
2019-05-28T15:02:55.749Z [info] 	8 Sending GET request to http://localhost:9516/session/c6fa31b84c3f57ad68b44fe420d13199/element/0.7120357156936477-2/displayed:  {}
2019-05-28T15:02:55.761Z [info] 	9 Sending POST request to http://localhost:9516/session/c6fa31b84c3f57ad68b44fe420d13199/execute:  {"script":"return (function(el, names){\n  return names.map(function(name){\n    return el[name]\n  });\n})(arguments[0], arguments[1]);\n","args":[{"ELEMENT":"0.7120357156936477-2"},["tagName","type"]]}
2019-05-28T15:02:55.767Z [info] 	10 Sending POST request to http://localhost:9516/session/c6fa31b84c3f57ad68b44fe420d13199/execute:  {"script":"if (!arguments[0].readOnly){ arguments[0].value = '' }","args":[{"ELEMENT":"0.7120357156936477-2"}]}
2019-05-28T15:02:55.773Z [info] 	11 Sending POST request to http://localhost:9516/session/c6fa31b84c3f57ad68b44fe420d13199/element/0.7120357156936477-2/value:  {"value":["changeme"]}
2019-05-28T15:02:55.820Z [info] 	12 Sending elements request to http://localhost:9516/session/c6fa31b84c3f57ad68b44fe420d13199:  {"using":"xpath","value":"//button[text()='Login']"}
2019-05-28T15:02:55.820Z [info] 	12 Elements locator: {"value":"//button[text()='Login']","using":"xpath"}
2019-05-28T15:02:55.831Z [info] 	12 Elements response: {"sessionId":"c6fa31b84c3f57ad68b44fe420d13199","status":0,"value":[{"ELEMENT":"0.7120357156936477-3"}]}
2019-05-28T15:02:55.832Z [info] 	13 Sending GET request to http://localhost:9516/session/c6fa31b84c3f57ad68b44fe420d13199/element/0.7120357156936477-3/displayed:  {}
2019-05-28T15:02:55.844Z [info] 	14 Sending POST request to http://localhost:9516/session/c6fa31b84c3f57ad68b44fe420d13199/element/0.7120357156936477-3/click:  {}
2019-05-28T15:02:58.890Z [info] 	15 Sending elements request to http://localhost:9516/session/c6fa31b84c3f57ad68b44fe420d13199:  {"using":"xpath","value":"//div[@class='at-main-menu-btn ch-icon-container menu']"}
2019-05-28T15:02:58.890Z [info] 	15 Elements locator: {"value":"//div[@class='at-main-menu-btn ch-icon-container menu']","using":"xpath"}
2019-05-28T15:02:58.905Z [info] 	15 Elements response: {"sessionId":"c6fa31b84c3f57ad68b44fe420d13199","status":0,"value":[{"ELEMENT":"0.7120357156936477-4"}]}
2019-05-28T15:02:58.906Z [info] 	16 Sending GET request to http://localhost:9516/session/c6fa31b84c3f57ad68b44fe420d13199/element/0.7120357156936477-4/displayed:  {}
2019-05-28T15:02:58.919Z [info] 	17 Sending POST request to http://localhost:9516/session/c6fa31b84c3f57ad68b44fe420d13199/element/0.7120357156936477-4/click:  {}
2019-05-28T15:02:58.966Z [info] 	18 Sending elements request to http://localhost:9516/session/c6fa31b84c3f57ad68b44fe420d13199:  {"using":"xpath","value":"//a[@class='black-link nav-menu-category__item at-main-menu-pipelines']"}
2019-05-28T15:02:58.967Z [info] 	18 Elements locator: {"value":"//a[@class='black-link nav-menu-category__item at-main-menu-pipelines']","using":"xpath"}
2019-05-28T15:02:58.978Z [info] 	18 Elements response: {"sessionId":"c6fa31b84c3f57ad68b44fe420d13199","status":0,"value":[{"ELEMENT":"0.7120357156936477-5"}]}
2019-05-28T15:02:58.979Z [info] 	19 Sending GET request to http://localhost:9516/session/c6fa31b84c3f57ad68b44fe420d13199/element/0.7120357156936477-5/displayed:  {}
2019-05-28T15:02:58.990Z [info] 	20 Sending POST request to http://localhost:9516/session/c6fa31b84c3f57ad68b44fe420d13199/element/0.7120357156936477-5/click:  {}
2019-05-28T15:02:59.035Z [info] 	21 Sending elements request to http://localhost:9516/session/c6fa31b84c3f57ad68b44fe420d13199:  {"using":"xpath","value":"//div/a[@title='pipJul']__ta__EC:content:choosePipeline__ta__"}
2019-05-28T15:02:59.473Z [info] 	Element address: null
2019-05-28T15:02:59.473Z [info] 	21 Element not found
2019-05-28T15:02:59.473Z [info] 	21 Elements locator: {"error":"Unable to locate element { using: \"xpath\", selector: \"//div/a[@title='pipJul']\" }"}
2019-05-28T15:02:59.488Z [info] 	22 Sending elements request to http://localhost:9516/session/c6fa31b84c3f57ad68b44fe420d13199:  {"using":"xpath","value":"//div/a[@title='pipJul']__ta__EC:content:choosePipeline__ta__"}
2019-05-28T15:02:59.871Z [info] 	Element address: null
2019-05-28T15:02:59.872Z [info] 	22 Element not found
2019-05-28T15:02:59.872Z [info] 	22 Elements locator: {"error":"Unable to locate element { using: \"xpath\", selector: \"//div/a[@title='pipJul']\" }"}
2019-05-28T15:02:59.888Z [info] 	23 Sending elements request to http://localhost:9516/session/c6fa31b84c3f57ad68b44fe420d13199:  {"using":"xpath","value":"//div/a[@title='pipJul']__ta__EC:content:choosePipeline__ta__"}
2019-05-28T15:03:00.295Z [info] 	Element address: 0.1.1.0.0.1.0.0.1.0.1.0.0.3.0
