2019-06-05T09:12:18.549Z [info] 	Starting TrueAutomation.IO client
2019-06-05T09:12:18.550Z [info] 	API key: 8ceb34cf-4ee4-46dd-8ccb-9f733013341a
2019-06-05T09:12:18.550Z [info] 	Project name: 866
2019-06-05T09:12:18.550Z [info] 	Cloud server: http://app-dev.trueautomation.io
2019-06-05T09:12:18.550Z [info] 	Starting chromeDriver /Users/juliaarapova/.trueautomation/chromedriver/chromedriver_mac64_74.0.3729.6 on port 9516...
2019-06-05T09:12:19.073Z [info] 	TrueAutomation.IO Client is listening on port 9515
2019-06-05T09:12:20.273Z [info] 	0 Create session response: {"sessionId":"e33490bbe75be7d4592e2d3e96df5c90","status":0,"value":{"acceptInsecureCerts":false,"acceptSslCerts":false,"applicationCacheEnabled":false,"browserConnectionEnabled":false,"browserName":"chrome","chrome":{"chromedriverVersion":"74.0.3729.6 (255758eccf3d244491b8a1317aa76e1ce10d57e9-refs/branch-heads/3729@{#29})","userDataDir":"/var/folders/vv/_x0x6cds6_l48m8ntvvw30sw0000gn/T/.com.google.Chrome.07dXT1"},"cssSelectorsEnabled":true,"databaseEnabled":false,"goog:chromeOptions":{"debuggerAddress":"localhost:60928"},"handlesAlerts":true,"hasTouchScreen":false,"javascriptEnabled":true,"locationContextEnabled":true,"mobileEmulationEnabled":false,"nativeEvents":true,"networkConnectionEnabled":false,"pageLoadStrategy":"normal","platform":"Mac OS X","proxy":{},"rotatable":false,"setWindowRect":true,"strictFileInteractability":false,"takesHeapSnapshot":true,"takesScreenshot":true,"timeouts":{"implicit":0,"pageLoad":300000,"script":30000},"unexpectedAlertBehaviour":"ignore","version":"74.0.3729.169","webStorageEnabled":true}}
2019-06-05T09:12:20.284Z [info] 	1 Sending POST request to http://localhost:9516/session/e33490bbe75be7d4592e2d3e96df5c90/url:  {"url":"https://ectest.trueautomation.io/flow"}
2019-06-05T09:12:25.370Z [info] 	2 Sending elements request to http://localhost:9516/session/e33490bbe75be7d4592e2d3e96df5c90:  {"using":"xpath","value":"//input[@id='username']"}
2019-06-05T09:12:25.370Z [info] 	2 Elements locator: {"value":"//input[@id='username']","using":"xpath"}
2019-06-05T09:12:25.382Z [info] 	2 Elements response: {"sessionId":"e33490bbe75be7d4592e2d3e96df5c90","status":0,"value":[]}
2019-06-05T09:12:25.397Z [info] 	3 Sending elements request to http://localhost:9516/session/e33490bbe75be7d4592e2d3e96df5c90:  {"using":"xpath","value":"//input[@id='username']"}
2019-06-05T09:12:25.398Z [info] 	3 Elements locator: {"value":"//input[@id='username']","using":"xpath"}
2019-06-05T09:12:25.407Z [info] 	3 Elements response: {"sessionId":"e33490bbe75be7d4592e2d3e96df5c90","status":0,"value":[]}
2019-06-05T09:12:25.419Z [info] 	4 Sending elements request to http://localhost:9516/session/e33490bbe75be7d4592e2d3e96df5c90:  {"using":"xpath","value":"//input[@id='username']"}
2019-06-05T09:12:25.419Z [info] 	4 Elements locator: {"value":"//input[@id='username']","using":"xpath"}
2019-06-05T09:12:25.490Z [info] 	4 Elements response: {"sessionId":"e33490bbe75be7d4592e2d3e96df5c90","status":0,"value":[]}
2019-06-05T09:12:25.505Z [info] 	5 Sending elements request to http://localhost:9516/session/e33490bbe75be7d4592e2d3e96df5c90:  {"using":"xpath","value":"//input[@id='username']"}
2019-06-05T09:12:25.506Z [info] 	5 Elements locator: {"value":"//input[@id='username']","using":"xpath"}
2019-06-05T09:12:25.516Z [info] 	5 Elements response: {"sessionId":"e33490bbe75be7d4592e2d3e96df5c90","status":0,"value":[]}
2019-06-05T09:12:25.529Z [info] 	6 Sending elements request to http://localhost:9516/session/e33490bbe75be7d4592e2d3e96df5c90:  {"using":"xpath","value":"//input[@id='username']"}
2019-06-05T09:12:25.529Z [info] 	6 Elements locator: {"value":"//input[@id='username']","using":"xpath"}
2019-06-05T09:12:25.577Z [info] 	6 Elements response: {"sessionId":"e33490bbe75be7d4592e2d3e96df5c90","status":0,"value":[{"ELEMENT":"0.48295283663968447-1"}]}
2019-06-05T09:12:25.579Z [info] 	7 Sending GET request to http://localhost:9516/session/e33490bbe75be7d4592e2d3e96df5c90/element/0.48295283663968447-1/displayed:  {}
2019-06-05T09:12:25.592Z [info] 	8 Sending POST request to http://localhost:9516/session/e33490bbe75be7d4592e2d3e96df5c90/execute:  {"script":"return (function(el, names){\n  return names.map(function(name){\n    return el[name]\n  });\n})(arguments[0], arguments[1]);\n","args":[{"ELEMENT":"0.48295283663968447-1"},["tagName","type"]]}
